1768294063442|3|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|INSERT INTO file (        id, parent_table, parent_no, name, path, size, content_type, sort_order, is_main     )     VALUES (        ?, ?, ?, ?, ?, ?, ?, ?, ?     )|INSERT INTO file (        id, parent_table, parent_no, name, path, size, content_type, sort_order, is_main     )     VALUES (        '1e43dd45-b717-40ed-9f9f-f8f211e00c82', 'board', 6, '의존선.png', 'C:/upload/768e083e-14b3-4a96-a968-28e0b703dee6_의존선.png', 30183, 'image/png', 2, NULL     )
1768294063448|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT b.*           ,'board' AS parent_table     FROM board b     ORDER BY created_at DESC|SELECT b.*           ,'board' AS parent_table     FROM board b     ORDER BY created_at DESC
1768294063449|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 6     ORDER BY sort_order ASC, created_at DESC
1768294063452|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 1     ORDER BY sort_order ASC, created_at DESC
1768294063452|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 2     ORDER BY sort_order ASC, created_at DESC
1768294063453|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 3     ORDER BY sort_order ASC, created_at DESC
1768294063454|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 4     ORDER BY sort_order ASC, created_at DESC
1768294063454|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 5     ORDER BY sort_order ASC, created_at DESC
1768294065230|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT b. *         , 'board' AS parent_table     FROM board b     WHERE no = ?|SELECT b. *         , 'board' AS parent_table     FROM board b     WHERE no = 6
1768294065231|0|statement|connection 11|url jdbc:p6spy:mysql://localhost:3306/aloha?serverTimezone=Asia/Seoul&allowPublicKeyRetrieval=true&useSSL=false&autoReconnection=true&autoReconnection=true|SELECT *     FROM file     WHERE parent_table = ?       AND parent_no = ?     ORDER BY sort_order ASC, created_at DESC|SELECT *     FROM file     WHERE parent_table = 'board'       AND parent_no = 6     ORDER BY sort_order ASC, created_at DESC
